"Wavelength, µm","n","k"
25,6.251,11.81
25.641,13.617,5.703
26.3158,10.005,0.246
27.027,7.689,-0.115
27.7778,6.604,0.035
28.5714,5.96,0.146
29.4118,5.538,0.094
30.303,5.213,0.007
31.25,4.947,-0.055
32.2581,4.717,0.003
33.3333,4.536,0.058
34.4828,4.389,0.088
35.7143,4.297,0.077
37.037,4.226,0.048
38.4615,4.136,0.039
40,4.055,0.053
41.6667,3.984,0.065
43.4783,3.921,0.042
45.4545,3.865,0.022
47.619,3.814,0.016
50,3.768,0.028
52.6316,3.727,0.037
55.5556,3.689,0.03
